,n,density,m,min deg,max deg,avg deg,nst1,nst2,hit rate,K,time
0,30,0.3333333333333333,153,5,13,10.2,3082017630625585188030119936,2527208727343127765547220992,0.9733333333333333,250,0.10526752471923828
1,40,0.25,177,5,14,8.85,18873694784367103256537688983994368,13438907921955786872997135092023296,0.975,896,0.42957425117492676
2,50,0.2,243,5,14,9.72,1880184509539109783922675136223961835781488640,1472861406402783696638716180849018036478279680,0.968,517,0.31208276748657227
3,60,0.16666666666666666,291,5,15,9.7,6032013240219152788497681082929495562824302060204195840,4708141892925970538014660535489925899006292347787935744,0.9933333333333334,18667,11.43193244934082
4,70,0.14285714285714285,343,2,18,9.8,7667365689336892454545991593170471511445651275114001773709230080,6122026870255126196932277823778287790609863287503899977756704768,0.9800000000000001,1414,0.6858258247375488
5,80,0.125,392,5,18,9.8,32897303691894501884705118916069173496092213879422292903810633378922758144,26680098816627495361365971377576142973529365303896983560628686414927626240,0.975,709,0.4368929862976074
6,40,0.25,198,5,16,9.9,1661521477107766240174592645853609984,1388560189801735862013221456178053120,1.0,420,0.2211287021636963
7,50,0.2,250,3,18,10.0,7095595585116644371242963170904704104536211456,5499349753193350077928115605386318304514146304,0.9879999999999999,969,0.5651645660400391
8,60,0.16666666666666666,318,4,18,10.6,636993334940427601731255515038908580775820481473718255616,499929238848895527933617398444649993755037154128923983872,0.9866666666666667,1543,1.0367343425750732
9,30,0.3333333333333333,143,5,14,9.533333333333333,235153826067309769932144640,195780681042261807179235328,0.9800000000000001,209,0.09929728507995605
10,40,0.25,204,4,15,10.2,5005059087431653088943117377048936448,4181862018597123201081116854044327936,0.97,5976,2.0261738300323486
11,50,0.2,249,3,18,9.96,3234179401750592737757332890338188037086773248,2669158266539752039787558738050301784655659008,0.968,561,0.3297431468963623
12,100,0.1,517,3,20,10.34,31331231020207111002062105133448288680554061171510400647592959997596567748516071918364753133568,23320383071499457453206922975837599082666104856190433683732888767573838090005080189545140453376,0.984,15230,15.407240152359009
13,30,0.3333333333333333,144,5,17,9.6,307030030058569344682557440,226139961964765346583805952,0.9733333333333334,949,0.5832819938659668
14,40,0.25,194,5,15,9.7,1001323180709245688442704292233609216,760824111806016673630494153328558080,0.985,204,0.16858172416687012
15,50,0.2,257,4,17,10.28,46847531746996606999446891749497860488882552832,38249571119278886346514867523501246338996109312,0.9879999999999999,8690,3.1998822689056396
16,60,0.16666666666666666,304,3,16,10.133333333333333,59596831653786433100742371487759243686476727517263691776,48374946941198281583915916614615358061913171544927895552,0.9833333333333334,18268,7.970544099807739
17,70,0.14285714285714285,327,4,15,9.342857142857143,607627294570713759066983849460489976747296042285516951467851776,498627356146744500173783906684245193477945409777463399072923648,0.9942857142857143,3395,1.593418836593628
18,80,0.125,391,3,18,9.775,13756934341970599724844872220011113732427550704567011324896066923220959232,10468233504509030575234502201745258774478512996877282414689642198153035776,0.985,594,0.39381933212280273
19,30,0.3333333333333333,141,3,14,9.4,129362108795934296015634432,77026862086978097085677568,0.9866666666666667,524,0.18048763275146484
