,n,density,edges,min deg,max deg,avg deg,nst1,nst2,hit rate,K
0,70,0.2,496,6,27,14.17142857142857,12876768572361497278242594893217617516500122605501027402268771655221541601280,10489097407339146526129216047491007669399799984510639353318885165645713899520,0.9942857142857144,13289.8
1,70,0.2,499,8,22,14.257142857142858,30890569811555325541879488130219258154702325676158985461681855888142679146496,26901533033758520197590181070916570387607963135003521926231039690443688247296,0.9942857142857144,2418.4
2,70,0.2,485,6,22,13.857142857142858,3727679318677562820295866353292524964788151606059205520819351687961233063936,3187100466350705917376315390438427114027231607232678293169517332591647129600,0.9942857142857144,17078.8
3,70,0.2,470,6,21,13.428571428571427,369955993838342655557949832002205405439477487804520228120443862286476509184,307607716531635931151074964672376461340329148138317558121951820476571451392,0.9885714285714288,6766.6
4,70,0.2,499,6,22,14.257142857142858,24365745308922159100918000452328395588209588696132332588673862832675413295104,20785594261389523802986987960571897426126595522202138270547579830223648063488,0.9828571428571428,25430.5
5,70,0.2,495,7,21,14.142857142857142,25640478182569323434728910748862471972596311560104333000396944264358598279168,22551648621258159705362502188799000374067915926725093232882740864839810285568,0.9971428571428572,8540.3
6,70,0.2,484,8,21,13.82857142857143,3219882858866005492872618343766750277351646489868748254834281814109433364480,2676240900736297893875663188694943066712899679369290966114842987253645443072,0.9971428571428572,12091.3
7,70,0.2,484,7,25,13.82857142857143,2691994844987781469584877218840639732255071350784033881165844049035515658240,2395056676670369566368218527100771048167631393887061223913767327800280219648,0.9885714285714288,5006.8
8,70,0.2,458,6,21,13.085714285714285,56276485179862991216170392687672149398572589226395725089610976697962725376,46269966825967473973226300750249160668360677490698386195317160749851213824,1.0,1728.8
9,70,0.2,478,6,21,13.657142857142857,1642362989469610132454430006354660682712471300867706450534424682426773012480,1421206320788195569893748621382530537128754563482907047986404980937868705792,0.9971428571428572,15036.6
10,70,0.3,738,13,27,21.085714285714285,97236557992344633630546044025579959290643162295896196132322556864372456554840104189820928,89829880636981908592492095100378955246377243361735450477080212764704963793126091984470016,0.9942857142857144,11256.4
11,70,0.3,719,12,30,20.542857142857144,14847378258410963618810967752967105799976236073696366537978433825884883594326158943977472,13176281563979778333888911736351188821492831233711428304313396358121253991156814459174912,1.0,13591.0
12,70,0.3,737,13,28,21.057142857142857,88756425529116666574431042876449354026487735541770494474182719842656284913049948475359232,80061924245030791169569186950993293400665681586747296138519386353331530401627872379797504,1.0,12240.5
13,70,0.3,715,15,29,20.428571428571427,11762278507843057519565451517687398960102231022951491724381297401876029351551889221615616,10586904044006051899666037126334744395385869472522505408387401217939693455436891784478720,0.9914285714285714,21577.0
14,70,0.3,719,11,30,20.542857142857144,8356663774072781988979689242116051123231114061586645370509042509021815505708099932520448,7519566588745472027070409710749547323064522058062753041717693119129669249366734321745920,1.0,18971.6
