,n,density,edges,min deg,max deg,avg deg,nst1,nst2,hit rate,K
0,20,0.2,35,1,6,3.5,15053700,6993428,0.89,13646.5
1,20,0.2,32,1,6,3.2,810984,393300,0.86,11293.4
2,20,0.2,43,2,8,4.3,6069885509,3186608907,0.96,6776.5
3,20,0.2,39,2,8,3.9,310329729,183371530,0.9299999999999999,10466.4
4,20,0.2,30,1,8,3.0,231255,80130,0.8800000000000001,3564.6
5,20,0.2,35,1,6,3.5,13397735,7332041,0.9199999999999999,2420.5
6,20,0.2,40,1,7,4.0,434225999,180028959,0.9800000000000001,746.3
7,20,0.2,30,1,6,3.0,415262,121837,0.93,10865.4
8,20,0.2,33,1,5,3.3,17747656,8187524,0.9400000000000001,830.2
9,20,0.2,39,2,6,3.9,455290533,234530904,0.9199999999999999,2668.8
10,20,0.2,48,2,7,4.8,97537940942,60248035538,0.96,2122.6
11,20,0.2,30,1,6,3.0,328941,143418,0.89,3038.2
12,20,0.2,42,2,8,4.2,3509544251,1163578353,0.9099999999999999,8540.3
13,20,0.2,43,2,8,4.3,4164732856,2334768915,0.95,9485.0
14,30,0.2,95,1,11,6.333333333333333,81306934300237807616,60811366008393416704,0.9533333333333334,4275.2
15,30,0.2,88,3,10,5.866666666666666,28487439564318892032,18225502601553305600,0.9666666666666666,14884.5
16,30,0.2,90,2,12,6.0,40048755244550938624,26760617192960294912,0.96,13004.4
17,30,0.2,82,1,12,5.466666666666667,573053974770123328,365094515224858176,0.9466666666666667,2019.6
18,30,0.2,80,2,8,5.333333333333333,2421467453189910016,1665444697172358656,0.96,4352.2
19,30,0.2,100,3,12,6.666666666666667,2085779357058989293568,1443036385066223140864,0.9800000000000001,14965.2
20,30,0.2,81,1,10,5.4,484549933836006976,321097102431086784,0.9333333333333333,1500.9
21,30,0.2,89,2,12,5.933333333333334,43224679468454051840,28308780555262062592,0.9800000000000001,9437.4
22,30,0.2,91,2,10,6.066666666666666,119234884919776477184,72137606677803687936,0.9733333333333334,1978.5
23,30,0.2,90,3,10,6.0,70981615866838065152,48022320841790562304,0.96,21104.3
24,30,0.2,101,3,11,6.733333333333333,2124393865536852197376,1238963707663230697472,0.9400000000000001,13511.2
25,30,0.2,90,3,10,6.0,71761331837102931968,41238416745672589312,0.96,1737.4
26,30,0.2,88,1,10,5.866666666666666,18758316238844362752,10473874548912304128,0.9600000000000002,3673.4
27,30,0.2,77,2,8,5.133333333333334,436208108057595328,275187789801038848,0.9733333333333334,7058.5
28,30,0.2,94,2,10,6.266666666666667,287869866629463015424,189393625002612948992,0.9866666666666667,12218.4
29,40,0.2,149,3,11,7.45,18437630457010680522408099577856,14373309034402887999927625973760,0.9949999999999999,2106.2
30,40,0.2,161,3,14,8.05,149922865972875175914205817602048,110789380798332906834436061921280,0.97,16122.8
31,40,0.2,134,2,11,6.7,50511219400924606589327900672,33865718677214883231182094336,0.9800000000000001,11700.9
32,40,0.2,158,4,13,7.9,106358946332815873099272099463168,84797318750763865956875084234752,0.99,1892.7
33,40,0.2,149,3,12,7.45,9291531745875722721916805447680,6724428451961095181400025333760,0.9800000000000001,2178.2
34,40,0.2,162,4,12,8.1,521080694348926883576575000838144,399966935696845694488064225705984,1.0,18408.0
